hypothesis,scale,horizon,N,gross,net,wr,t_stat,pf,sharpe
H1a_MA25<-15%,TOPIX500,20,2718,8.213448103497809,8.11344810349781,74.46651949963208,33.333162005870534,5.714818091607626,2.2419039627995123
H1b_MA25<-10%,TOPIX500,20,8384,5.783530281328069,5.683530281328069,67.60496183206108,42.7594957172113,3.560168899111397,1.6289860938558898
H1c_MA25 -10〜-5%,TOPIX500,20,23332,2.1707767707436254,2.070776770743625,57.967598148465626,33.97386397064919,1.8152524752110137,0.7531341683703553
H2a_20d下落<-20%,TOPIX500,20,2929,6.997450008896015,6.897450008896016,69.6483441447593,27.883841271120417,4.140595693258444,1.802714473576985
H2b_20d下落<-10%,TOPIX500,20,19828,3.54453215148469,3.44453215148469,61.171071212426874,44.517172414548675,2.3715353501781635,1.0905478145831935
H3a_20d上昇>+20%,TOPIX500,20,8606,2.532519208536018,2.4325192085360174,54.0785498489426,15.625339680706094,1.611692058060545,0.5742719438842286
H3b_20d上昇>+10%,TOPIX500,20,37953,1.9844347217192304,1.8844347217192303,55.128711827787,32.78751926919922,1.5891924854767006,0.5673029691980922
H4a_BB<-1.8σ,TOPIX500,20,3967,5.410068076040423,5.310068076040424,69.22107385933955,32.72400861252175,4.1988569908443125,1.8101644417148188
H4b_BB<-1.5σ,TOPIX500,20,7098,4.394330182655636,4.294330182655636,65.70865032403493,36.44184316867762,3.310251523615599,1.5004459557331222
H5_52週高値×vol≥1.5x,TOPIX500,20,3215,2.1222496638302646,2.0222496638302645,54.65007776049766,10.221127884230164,1.657140551930445,0.609722054672567
H6_5MA>25MA,TOPIX500,20,7755,0.8968331121408898,0.7968331121408899,52.52095422308189,8.612056214044129,1.2771203312732673,0.308430249830519
H7a_5d<-8%,TOPIX500,20,8321,5.097850036385747,4.997850036385747,66.0377358490566,38.12022849278541,3.1150924727431324,1.4542838181188096
H7b_5d>+10%,TOPIX500,20,7268,2.2534259363917277,2.1534259363917276,52.311502476609796,13.196511341271504,1.5496464173098052,0.5250777304749824
H8a_vol≥2.0x×陰線,TOPIX500,20,5636,2.791975998756073,2.6919759987560727,59.08445706174592,21.553405969033893,2.1955483892886187,0.9825964537365129
